"transactionid","customerid","date","productid","price","qty","totalamount","storeid","age","gender","income","maritalstatus","productname","price-2","storename","latitude","longitude"
"TR5410                                            ","94                                                ","2022-07-01","P2                                                ","3200","7","22400","3                                                 ","53","Female              ","12.94","Married                                           ","Ginger Candy                                      ","3200","Prima Kota                                        ","-7.797068","110.370529"
"TR60066                                           ","251                                               ","2022-07-01","P10                                               ","15000","4","60000","7                                                 ","45","Male                ","3.38","Married                                           ","Cheese Stick                                      ","15000","Buana Indah                                       ","3.316694","114.590111"
"TR60222                                           ","206                                               ","2022-07-01","P9                                                ","10000","5","50000","5                                                 ","68","Female              ","8.3","Married                                           ","Yoghurt                                           ","10000","Bonafid                                           ","-7.250445","112.768845"
"TR60228                                           ","1                                                 ","2022-07-01","P3                                                ","7500","5","37500","9                                                 ","55","Male                ","5.12","Married                                           ","Crackers                                          ","7500","Lingga                                            ","-3.654703","128.190643"
"TR68742                                           ","214                                               ","2022-07-01","P2                                                ","3200","7","22400","11                                                ","52","Female              ","13.14","Married                                           ","Ginger Candy                                      ","3200","Sinar Harapan                                     ","0.533505","101.447403"
"TR71131                                           ","87                                                ","2022-07-01","P9                                                ","10000","5","50000","8                                                 ","44","Male                ","9.57","Married                                           ","Yoghurt                                           ","10000","Sinar Harapan                                     ","5.54829","95.323753"
"TR72787                                           ","293                                               ","2022-07-01","P8                                                ","16000","1","16000","2                                                 ","54","Female              ","10.4","Married                                           ","Oat                                               ","16000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR77432                                           ","431                                               ","2022-07-01","P7                                                ","9400","2","18800","11                                                ","40","Male                ","9.51","Married                                           ","Coffee Candy                                      ","9400","Sinar Harapan                                     ","0.533505","101.447403"
"TR79479                                           ","107                                               ","2022-07-01","P7                                                ","9400","5","47000","7                                                 ","38","Male                ","9.85","Married                                           ","Coffee Candy                                      ","9400","Buana Indah                                       ","3.316694","114.590111"
"TR88599                                           ","438                                               ","2022-07-01","P10                                               ","15000","1","15000","3                                                 ","36","Male                ","5.43","Single                                            ","Cheese Stick                                      ","15000","Prima Kota                                        ","-7.797068","110.370529"
"TR92085                                           ","378                                               ","2022-07-01","P10                                               ","15000","1","15000","14                                                ","54","Female              ","14.66","Married                                           ","Cheese Stick                                      ","15000","Priangan                                          ","-5.45","105.26667"
"TR9874                                            ","348                                               ","2022-07-01","P9                                                ","10000","7","70000","1                                                 ","29","Male                ","4.64","Married                                           ","Yoghurt                                           ","10000","Prima Tendean                                     ","-6.2","106.816666"
"TR98897                                           ","233                                               ","2022-07-01","P6                                                ","18000","4","72000","11                                                ","43","Male                ","5.69","Married                                           ","Cashew                                            ","18000","Sinar Harapan                                     ","0.533505","101.447403"
"TR17337                                           ","155                                               ","2022-07-02","P4                                                ","12000","1","12000","10                                                ","40","Female              ","7.17","Married                                           ","Potato Chip                                       ","12000","Harapan Baru                                      ","3.597031","98.678513"
"TR18471                                           ","17                                                ","2022-07-02","P9                                                ","10000","1","10000","5                                                 ","35","Female              ","3.14","Married                                           ","Yoghurt                                           ","10000","Bonafid                                           ","-7.250445","112.768845"
"TR19616                                           ","302                                               ","2022-07-02","P8                                                ","16000","3","48000","2                                                 ","51","Female              ","15.43","Married                                           ","Oat                                               ","16000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR34452                                           ","218                                               ","2022-07-02","P7                                                ","9400","5","47000","12                                                ","29","Female              ","3.52","Married                                           ","Coffee Candy                                      ","9400","Prestasi Utama                                    ","-2.990934","104.756554"
"TR35601                                           ","356                                               ","2022-07-02","P10                                               ","15000","3","45000","9                                                 ","56","Female              ","13.25","Married                                           ","Cheese Stick                                      ","15000","Lingga                                            ","-3.654703","128.190643"
"TR37048                                           ","281                                               ","2022-07-02","P3                                                ","7500","2","15000","13                                                ","35","Female              ","3.3","Married                                           ","Crackers                                          ","7500","Buana                                             ","-1.26916","116.825264"
"TR42480                                           ","310                                               ","2022-07-02","P3                                                ","7500","6","45000","10                                                ","23","Female              ","4.17","Married                                           ","Crackers                                          ","7500","Harapan Baru                                      ","3.597031","98.678513"
"TR43486                                           ","125                                               ","2022-07-02","P5                                                ","4200","4","16800","7                                                 ","55","Male                ","12.75","Married                                           ","Thai Tea                                          ","4200","Buana Indah                                       ","3.316694","114.590111"
"TR46328                                           ","172                                               ","2022-07-02","P4                                                ","12000","5","60000","1                                                 ","57","Male                ","8.96","Married                                           ","Potato Chip                                       ","12000","Prima Tendean                                     ","-6.2","106.816666"
"TR61763                                           ","380                                               ","2022-07-02","P9                                                ","10000","3","30000","10                                                ","40","Female              ","5.77","Married                                           ","Yoghurt                                           ","10000","Harapan Baru                                      ","3.597031","98.678513"
"TR82925                                           ","325                                               ","2022-07-02","P5                                                ","4200","3","12600","1                                                 ","37","Female              ","3.25","Single                                            ","Thai Tea                                          ","4200","Prima Tendean                                     ","-6.2","106.816666"
"TR85800                                           ","149                                               ","2022-07-02","P3                                                ","7500","1","7500","7                                                 ","61","Male                ","3.96","Married                                           ","Crackers                                          ","7500","Buana Indah                                       ","3.316694","114.590111"
"TR89488                                           ","92                                                ","2022-07-02","P5                                                ","4200","4","16800","14                                                ","60","Female              ","10.72","Married                                           ","Thai Tea                                          ","4200","Priangan                                          ","-5.45","105.26667"
"TR91570                                           ","52                                                ","2022-07-02","P1                                                ","8800","9","79200","9                                                 ","37","Female              ","3.73","Married                                           ","Choco Bar                                         ","8800","Lingga                                            ","-3.654703","128.190643"
"TR10947                                           ","174                                               ","2022-07-03","P9                                                ","10000","4","40000","13                                                ","45","Male                ","17.34","Married                                           ","Yoghurt                                           ","10000","Buana                                             ","-1.26916","116.825264"
"TR1281                                            ","81                                                ","2022-07-03","P9                                                ","10000","1","10000","13                                                ","44","Female              ","19.49","Married                                           ","Yoghurt                                           ","10000","Buana                                             ","-1.26916","116.825264"
"TR13665                                           ","142                                               ","2022-07-03","P2                                                ","3200","6","19200","14                                                ","23","Male                ","1.58","Single                                            ","Ginger Candy                                      ","3200","Priangan                                          ","-5.45","105.26667"
"TR16195                                           ","220                                               ","2022-07-03","P6                                                ","18000","3","54000","7                                                 ","45","Female              ","16.35","Married                                           ","Cashew                                            ","18000","Buana Indah                                       ","3.316694","114.590111"
"TR20979                                           ","270                                               ","2022-07-03","P10                                               ","15000","5","75000","14                                                ","49","Male                ","8.81","Married                                           ","Cheese Stick                                      ","15000","Priangan                                          ","-5.45","105.26667"
"TR225                                             ","400                                               ","2022-07-03","P5                                                ","4200","2","8400","7                                                 ","23","Male                ","2.79","Single                                            ","Thai Tea                                          ","4200","Buana Indah                                       ","3.316694","114.590111"
"TR2611                                            ","360                                               ","2022-07-03","P8                                                ","16000","1","16000","9                                                 ","54","Female              ","35.78","Married                                           ","Oat                                               ","16000","Lingga                                            ","-3.654703","128.190643"
"TR31751                                           ","108                                               ","2022-07-03","P7                                                ","9400","2","18800","13                                                ","25","Female              ","6.87","Single                                            ","Coffee Candy                                      ","9400","Buana                                             ","-1.26916","116.825264"
"TR40115                                           ","299                                               ","2022-07-03","P7                                                ","9400","6","56400","1                                                 ","37","Male                ","4.54","Married                                           ","Coffee Candy                                      ","9400","Prima Tendean                                     ","-6.2","106.816666"
"TR456                                             ","393                                               ","2022-07-03","P9                                                ","10000","5","50000","2                                                 ","22","Female              ","0","Single                                            ","Yoghurt                                           ","10000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR49304                                           ","72                                                ","2022-07-03","P3                                                ","7500","4","30000","8                                                 ","26","Female              ","1.81","Single                                            ","Crackers                                          ","7500","Sinar Harapan                                     ","5.54829","95.323753"
"TR63644                                           ","149                                               ","2022-07-03","P7                                                ","9400","5","47000","12                                                ","61","Male                ","3.96","Married                                           ","Coffee Candy                                      ","9400","Prestasi Utama                                    ","-2.990934","104.756554"
"TR66398                                           ","390                                               ","2022-07-03","P3                                                ","7500","1","7500","8                                                 ","20","Male                ","3.7","Single                                            ","Crackers                                          ","7500","Sinar Harapan                                     ","5.54829","95.323753"
"TR71129                                           ","7                                                 ","2022-07-03","P9                                                ","10000","2","20000","11                                                ","31","Female              ","4.57","Married                                           ","Yoghurt                                           ","10000","Sinar Harapan                                     ","0.533505","101.447403"
"TR71642                                           ","233                                               ","2022-07-03","P1                                                ","8800","4","35200","11                                                ","43","Male                ","5.69","Married                                           ","Choco Bar                                         ","8800","Sinar Harapan                                     ","0.533505","101.447403"
"TR96325                                           ","13                                                ","2022-07-03","P5                                                ","4200","5","21000","12                                                ","23","Female              ","2.3","Single                                            ","Thai Tea                                          ","4200","Prestasi Utama                                    ","-2.990934","104.756554"
"TR18804                                           ","217                                               ","2022-07-04","P2                                                ","3200","7","22400","7                                                 ","39","Male                ","6.96","Single                                            ","Ginger Candy                                      ","3200","Buana Indah                                       ","3.316694","114.590111"
"TR18916                                           ","39                                                ","2022-07-04","P9                                                ","10000","7","70000","1                                                 ","66","Male                ","6.19","Married                                           ","Yoghurt                                           ","10000","Prima Tendean                                     ","-6.2","106.816666"
"TR2485                                            ","384                                               ","2022-07-04","P3                                                ","7500","6","45000","13                                                ","59","Male                ","4.42","Married                                           ","Crackers                                          ","7500","Buana                                             ","-1.26916","116.825264"
"TR3208                                            ","259                                               ","2022-07-04","P7                                                ","9400","6","56400","6                                                 ","59","Male                ","4.44","Married                                           ","Coffee Candy                                      ","9400","Lingga                                            ","-5.135399","119.42379"
"TR54646                                           ","112                                               ","2022-07-04","P10                                               ","15000","5","75000","5                                                 ","31","Male                ","4.44","Married                                           ","Cheese Stick                                      ","15000","Bonafid                                           ","-7.250445","112.768845"
"TR72546                                           ","237                                               ","2022-07-04","P5                                                ","4200","5","21000","8                                                 ","35","Male                ","8.14","Married                                           ","Thai Tea                                          ","4200","Sinar Harapan                                     ","5.54829","95.323753"
"TR74803                                           ","47                                                ","2022-07-04","P9                                                ","10000","1","10000","7                                                 ","35","Male                ","9.56","Married                                           ","Yoghurt                                           ","10000","Buana Indah                                       ","3.316694","114.590111"
"TR79007                                           ","140                                               ","2022-07-04","P5                                                ","4200","3","12600","3                                                 ","54","Female              ","9.57","Married                                           ","Thai Tea                                          ","4200","Prima Kota                                        ","-7.797068","110.370529"
"TR16451                                           ","343                                               ","2022-07-05","P8                                                ","16000","3","48000","2                                                 ","29","Female              ","2.26","Married                                           ","Oat                                               ","16000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR19197                                           ","16                                                ","2022-07-05","P6                                                ","18000","1","18000","5                                                 ","52","Female              ","11.8","Married                                           ","Cashew                                            ","18000","Bonafid                                           ","-7.250445","112.768845"
"TR20454                                           ","266                                               ","2022-07-05","P10                                               ","15000","3","45000","6                                                 ","72","Male                ","4.72","Married                                           ","Cheese Stick                                      ","15000","Lingga                                            ","-5.135399","119.42379"
"TR20792                                           ","58                                                ","2022-07-05","P5                                                ","4200","5","21000","3                                                 ","27","Male                ","4.43","Married                                           ","Thai Tea                                          ","4200","Prima Kota                                        ","-7.797068","110.370529"
"TR21762                                           ","5                                                 ","2022-07-05","P9                                                ","10000","7","70000","1                                                 ","58","Male                ","3.57","Married                                           ","Yoghurt                                           ","10000","Prima Tendean                                     ","-6.2","106.816666"
"TR31724                                           ","409                                               ","2022-07-05","P10                                               ","15000","3","45000","9                                                 ","47","Female              ","28.23","Married                                           ","Cheese Stick                                      ","15000","Lingga                                            ","-3.654703","128.190643"
"TR37789                                           ","10                                                ","2022-07-05","P4                                                ","12000","1","12000","6                                                 ","34","Male                ","4","Not Mentioned                                     ","Potato Chip                                       ","12000","Lingga                                            ","-5.135399","119.42379"
"TR51478                                           ","239                                               ","2022-07-05","P5                                                ","4200","2","8400","3                                                 ","41","Male                ","6.55","Married                                           ","Thai Tea                                          ","4200","Prima Kota                                        ","-7.797068","110.370529"
"TR57847                                           ","363                                               ","2022-07-05","P1                                                ","8800","10","88000","4                                                 ","35","Female              ","6.5","Married                                           ","Choco Bar                                         ","8800","Gita Ginara                                       ","-6.966667","110.416664"
"TR69229                                           ","46                                                ","2022-07-05","P8                                                ","16000","2","32000","4                                                 ","36","Male                ","8.31","Married                                           ","Oat                                               ","16000","Gita Ginara                                       ","-6.966667","110.416664"
"TR74692                                           ","89                                                ","2022-07-05","P10                                               ","15000","2","30000","9                                                 ","32","Female              ","9.68","Married                                           ","Cheese Stick                                      ","15000","Lingga                                            ","-3.654703","128.190643"
"TR78634                                           ","198                                               ","2022-07-05","P5                                                ","4200","2","8400","1                                                 ","45","Female              ","10.69","Married                                           ","Thai Tea                                          ","4200","Prima Tendean                                     ","-6.2","106.816666"
"TR92181                                           ","342                                               ","2022-07-05","P2                                                ","3200","3","9600","14                                                ","48","Male                ","13.55","Married                                           ","Ginger Candy                                      ","3200","Priangan                                          ","-5.45","105.26667"
"TR93280                                           ","287                                               ","2022-07-05","P3                                                ","7500","3","22500","7                                                 ","36","Female              ","3.7","Single                                            ","Crackers                                          ","7500","Buana Indah                                       ","3.316694","114.590111"
"TR13781                                           ","54                                                ","2022-07-06","P3                                                ","7500","6","45000","1                                                 ","42","Female              ","9.68","Single                                            ","Crackers                                          ","7500","Prima Tendean                                     ","-6.2","106.816666"
"TR18051                                           ","27                                                ","2022-07-06","P8                                                ","16000","2","32000","5                                                 ","43","Female              ","17.42","Married                                           ","Oat                                               ","16000","Bonafid                                           ","-7.250445","112.768845"
"TR18373                                           ","444                                               ","2022-07-06","P4                                                ","12000","2","24000","3                                                 ","53","Female              ","15.31","Married                                           ","Potato Chip                                       ","12000","Prima Kota                                        ","-7.797068","110.370529"
"TR27786                                           ","422                                               ","2022-07-06","P7                                                ","9400","4","37600","1                                                 ","21","Male                ","3.88","Single                                            ","Coffee Candy                                      ","9400","Prima Tendean                                     ","-6.2","106.816666"
"TR32727                                           ","223                                               ","2022-07-06","P8                                                ","16000","3","48000","6                                                 ","62","Male                ","5.35","Single                                            ","Oat                                               ","16000","Lingga                                            ","-5.135399","119.42379"
"TR35138                                           ","276                                               ","2022-07-06","P1                                                ","8800","10","88000","9                                                 ","31","Male                ","8.96","Married                                           ","Choco Bar                                         ","8800","Lingga                                            ","-3.654703","128.190643"
"TR5562                                            ","141                                               ","2022-07-06","P5                                                ","4200","3","12600","7                                                 ","65","Male                ","9.94","Married                                           ","Thai Tea                                          ","4200","Buana Indah                                       ","3.316694","114.590111"
"TR57283                                           ","2                                                 ","2022-07-06","P5                                                ","4200","3","12600","5                                                 ","60","Male                ","6.23","Married                                           ","Thai Tea                                          ","4200","Bonafid                                           ","-7.250445","112.768845"
"TR6695                                            ","220                                               ","2022-07-06","P9                                                ","10000","3","30000","8                                                 ","45","Female              ","16.35","Married                                           ","Yoghurt                                           ","10000","Sinar Harapan                                     ","5.54829","95.323753"
"TR77916                                           ","229                                               ","2022-07-06","P3                                                ","7500","5","37500","14                                                ","32","Female              ","10.17","Married                                           ","Crackers                                          ","7500","Priangan                                          ","-5.45","105.26667"
"TR87271                                           ","237                                               ","2022-07-06","P9                                                ","10000","2","20000","2                                                 ","35","Male                ","8.14","Married                                           ","Yoghurt                                           ","10000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR87345                                           ","4                                                 ","2022-07-06","P5                                                ","4200","3","12600","3                                                 ","31","Male                ","4.87","Married                                           ","Thai Tea                                          ","4200","Prima Kota                                        ","-7.797068","110.370529"
"TR97169                                           ","158                                               ","2022-07-06","P5                                                ","4200","2","8400","14                                                ","49","Male                ","5.6","Married                                           ","Thai Tea                                          ","4200","Priangan                                          ","-5.45","105.26667"
"TR2430                                            ","189                                               ","2022-07-07","P4                                                ","12000","4","48000","7                                                 ","59","Male                ","5.15","Single                                            ","Potato Chip                                       ","12000","Buana Indah                                       ","3.316694","114.590111"
"TR26517                                           ","133                                               ","2022-07-07","P10                                               ","15000","4","60000","4                                                 ","47","Male                ","20.81","Married                                           ","Cheese Stick                                      ","15000","Gita Ginara                                       ","-6.966667","110.416664"
"TR27651                                           ","15                                                ","2022-07-07","P6                                                ","18000","3","54000","2                                                 ","30","Female              ","4.52","Married                                           ","Cashew                                            ","18000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR28097                                           ","355                                               ","2022-07-07","P5                                                ","4200","5","21000","10                                                ","19","Male                ","0","Single                                            ","Thai Tea                                          ","4200","Harapan Baru                                      ","3.597031","98.678513"
"TR30435                                           ","95                                                ","2022-07-07","P8                                                ","16000","2","32000","7                                                 ","52","Female              ","17.42","Married                                           ","Oat                                               ","16000","Buana Indah                                       ","3.316694","114.590111"
"TR36777                                           ","305                                               ","2022-07-07","P5                                                ","4200","4","16800","12                                                ","29","Male                ","4.8","Married                                           ","Thai Tea                                          ","4200","Prestasi Utama                                    ","-2.990934","104.756554"
"TR37642                                           ","3                                                 ","2022-07-07","P7                                                ","9400","4","37600","2                                                 ","32","Male                ","9.17","Married                                           ","Coffee Candy                                      ","9400","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR40524                                           ","84                                                ","2022-07-07","P10                                               ","15000","3","45000","2                                                 ","54","Female              ","18.12","Married                                           ","Cheese Stick                                      ","15000","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR42912                                           ","77                                                ","2022-07-07","P9                                                ","10000","6","60000","9                                                 ","26","Female              ","4.67","Married                                           ","Yoghurt                                           ","10000","Lingga                                            ","-3.654703","128.190643"
"TR457                                             ","246                                               ","2022-07-07","P8                                                ","16000","1","16000","7                                                 ","40","Male                ","21.81","Single                                            ","Oat                                               ","16000","Buana Indah                                       ","3.316694","114.590111"
"TR51719                                           ","50                                                ","2022-07-07","P8                                                ","16000","3","48000","6                                                 ","31","Male                ","6.1","Married                                           ","Oat                                               ","16000","Lingga                                            ","-5.135399","119.42379"
"TR56456                                           ","53                                                ","2022-07-07","P5                                                ","4200","3","12600","2                                                 ","32","Female              ","7.36","Married                                           ","Thai Tea                                          ","4200","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR62586                                           ","251                                               ","2022-07-07","P1                                                ","8800","3","26400","10                                                ","45","Male                ","3.38","Married                                           ","Choco Bar                                         ","8800","Harapan Baru                                      ","3.597031","98.678513"
"TR66543                                           ","97                                                ","2022-07-07","P9                                                ","10000","1","10000","10                                                ","51","Male                ","20.22","Married                                           ","Yoghurt                                           ","10000","Harapan Baru                                      ","3.597031","98.678513"
"TR82062                                           ","192                                               ","2022-07-07","P3                                                ","7500","3","22500","2                                                 ","26","Female              ","4.47","Single                                            ","Crackers                                          ","7500","Prima Kelapa Dua                                  ","-6.914864","107.608238"
"TR83991                                           ","391                                               ","2022-07-07","P2                                                ","3200","3","9600","6                                                 ","26","Female              ","4.98","Married                                           ","Ginger Candy                                      ","3200","Lingga                                            ","-5.135399","119.42379"
"TR84427                                           ","110                                               ","2022-07-07","P7                                                ","9400","3","28200","13                                                ","19","Female              ","2.41","Married                                           ","Coffee Candy                                      ","9400","Buana                                             ","-1.26916","116.825264"
"TR91305                                           ","17                                                ","2022-07-07","P7                                                ","9400","6","56400","3                                                 ","35","Female              ","3.14","Married                                           ","Coffee Candy                                      ","9400","Prima Kota                                        ","-7.797068","110.370529"
